source,target,type
1,0,Directed
2,0,Directed
3,0,Directed
4,0,Directed
5,0,Directed
6,0,Directed
7,0,Directed
8,0,Directed
9,0,Directed
10,0,Directed
11,0,Directed
1,282,Directed
2,283,Directed
2,284,Directed
2,285,Directed
2,286,Directed
2,287,Directed
2,288,Directed
2,289,Directed
2,290,Directed
2,291,Directed
3,292,Directed
3,293,Directed
3,294,Directed
3,295,Directed
3,296,Directed
3,297,Directed
3,298,Directed
3,299,Directed
3,300,Directed
3,301,Directed
3,302,Directed
3,303,Directed
3,304,Directed
3,305,Directed
3,306,Directed
3,307,Directed
3,308,Directed
3,309,Directed
3,310,Directed
3,311,Directed
3,312,Directed
4,313,Directed
4,314,Directed
4,315,Directed
4,316,Directed
4,317,Directed
4,318,Directed
4,319,Directed
4,320,Directed
4,321,Directed
4,322,Directed
4,323,Directed
4,324,Directed
4,325,Directed
4,326,Directed
4,327,Directed
5,328,Directed
6,329,Directed
7,330,Directed
6,331,Directed
8,332,Directed
9,333,Directed
10,334,Directed
10,335,Directed
10,336,Directed
10,337,Directed
10,338,Directed
10,339,Directed
11,340,Directed
11,341,Directed
284,343,Directed
284,343,Directed
284,343,Directed
284,343,Directed
284,344,Directed
284,345,Directed
284,343,Directed
284,343,Directed
284,343,Directed
284,343,Directed
284,344,Directed
284,343,Directed
284,344,Directed
284,344,Directed
284,345,Directed
284,343,Directed
284,344,Directed
284,345,Directed
319,346,Directed
322,347,Directed
317,348,Directed
317,348,Directed
319,349,Directed
317,348,Directed
317,348,Directed
319,346,Directed
319,346,Directed
317,348,Directed
317,348,Directed
319,346,Directed
317,348,Directed
317,348,Directed
317,348,Directed
317,348,Directed
317,348,Directed
317,348,Directed
317,348,Directed
317,348,Directed
317,348,Directed
318,350,Directed
318,350,Directed
318,350,Directed
318,350,Directed
318,350,Directed
318,350,Directed
318,350,Directed
318,350,Directed
318,350,Directed
318,350,Directed
318,350,Directed
318,350,Directed
313,351,Directed
313,351,Directed
313,351,Directed
313,351,Directed
313,351,Directed
313,351,Directed
318,350,Directed
313,351,Directed
313,351,Directed
313,351,Directed
313,351,Directed
313,351,Directed
318,350,Directed
322,347,Directed
322,347,Directed
322,347,Directed
322,347,Directed
322,352,Directed
322,352,Directed
322,352,Directed
322,352,Directed
322,353,Directed
322,354,Directed
322,355,Directed
322,355,Directed
322,355,Directed
322,356,Directed
322,357,Directed
322,357,Directed
322,358,Directed
322,353,Directed
322,353,Directed
322,359,Directed
322,359,Directed
319,346,Directed
319,346,Directed
319,349,Directed
319,349,Directed
319,349,Directed
319,349,Directed
319,360,Directed
319,360,Directed
319,360,Directed
319,360,Directed
319,360,Directed
319,360,Directed
319,360,Directed
319,360,Directed
319,360,Directed
319,360,Directed
319,360,Directed
319,361,Directed
319,360,Directed
319,360,Directed
319,360,Directed
319,360,Directed
319,360,Directed
319,346,Directed
319,346,Directed
319,346,Directed
