source,target,type,weight
179,0,Undirected,869.090031
180,1,Undirected,1440.375177
181,1,Undirected,1131.046751
181,2,Undirected,554.712854
181,3,Undirected,88.904031
181,4,Undirected,85.080469
181,5,Undirected,187.772019
181,6,Undirected,1760.784477
181,7,Undirected,968.648409
181,8,Undirected,245.959549
181,9,Undirected,62.95899
181,10,Undirected,138.351611
181,11,Undirected,13.660313
181,12,Undirected,359.663521
181,13,Undirected,10.154225
181,14,Undirected,34.398917
181,15,Undirected,32.932671
181,16,Undirected,38.545727
182,17,Undirected,364.759291
182,18,Undirected,1860.303913
182,1,Undirected,310.897993
182,15,Undirected,16.755717
182,19,Undirected,43.753648
183,1,Undirected,1127.781449
183,0,Undirected,1117.462248
183,20,Undirected,31.032422
183,21,Undirected,31.6802
183,22,Undirected,32.594553
183,23,Undirected,30.628667
183,24,Undirected,936.251764
183,25,Undirected,30.937814
183,11,Undirected,79.275097
183,26,Undirected,224.86777
183,27,Undirected,158.442511
183,28,Undirected,247.404513
183,18,Undirected,2588.482682
183,29,Undirected,205.320784
183,15,Undirected,41.642055
183,30,Undirected,32.765926
183,31,Undirected,64.367935
183,32,Undirected,41.017557
183,33,Undirected,44.616896
183,34,Undirected,293.366298
183,35,Undirected,43.084786
183,17,Undirected,436.930923
183,36,Undirected,688.78082
183,37,Undirected,161.142483
183,38,Undirected,88.9294
183,39,Undirected,899.10767
181,19,Undirected,156.050143
184,19,Undirected,166.105995
181,40,Undirected,29.956837
181,41,Undirected,136.982748
184,12,Undirected,28.471344
181,42,Undirected,197.291873
183,43,Undirected,86.445055
181,44,Undirected,174.959427
183,45,Undirected,460.958646
185,46,Undirected,99.685614
183,47,Undirected,59.655053
183,48,Undirected,65.603416
183,49,Undirected,133.079518
183,50,Undirected,68.852176
183,51,Undirected,69.12319
183,19,Undirected,63.697981
184,1,Undirected,1102.531235
184,52,Undirected,154.933963
184,53,Undirected,717.15264
184,47,Undirected,1153.893283
184,54,Undirected,27.40959
184,55,Undirected,113.068791
184,56,Undirected,164.665825
184,57,Undirected,35.402279
184,18,Undirected,237.919911
184,58,Undirected,40.88824
184,59,Undirected,216.377378
184,60,Undirected,518.984368
184,15,Undirected,187.00872
184,28,Undirected,198.707284
184,61,Undirected,70.826429
184,20,Undirected,294.284477
184,0,Undirected,307.854441
184,6,Undirected,509.260863
186,47,Undirected,974.027023
186,62,Undirected,43.622671
186,10,Undirected,814.757951
186,63,Undirected,319.661084
186,38,Undirected,164.002235
186,64,Undirected,22.113859
186,65,Undirected,456.752986
186,66,Undirected,98.92112
186,67,Undirected,160.735109
186,68,Undirected,28.929035
186,69,Undirected,60.489665
186,70,Undirected,187.037532
186,16,Undirected,25.069009
186,71,Undirected,29.821562
186,24,Undirected,106.409448
186,72,Undirected,70.105888
186,73,Undirected,103.400852
186,74,Undirected,75.591811
186,37,Undirected,50.931794
186,39,Undirected,62.974279
185,28,Undirected,49.239437
187,75,Undirected,1105.491593
182,76,Undirected,87.499334
187,77,Undirected,211.802899
187,76,Undirected,23.388917
187,78,Undirected,151.299457
187,79,Undirected,92.211805
187,80,Undirected,1087.050233
188,81,Undirected,1326.761426
