source,target,type,weight
0,179,Undirected,709.77235
0,180,Undirected,275.969267
1,182,Undirected,1267.621519
1,183,Undirected,103.175171
1,185,Undirected,153.505596
1,186,Undirected,18.586405
2,2,Undirected,442.248683
1,188,Undirected,19.85039
1,189,Undirected,496.508077
1,190,Undirected,116.439189
3,194,Undirected,88.904031
4,195,Undirected,85.080469
5,196,Undirected,44.593002
5,197,Undirected,44.616746
6,200,Undirected,1665.244678
2,201,Undirected,41.754803
7,203,Undirected,573.773754
7,204,Undirected,101.279925
7,205,Undirected,293.59473
8,206,Undirected,245.959549
10,196,Undirected,138.351611
1,209,Undirected,198.699097
1,2,Undirected,258.324076
12,214,Undirected,88.284952
13,215,Undirected,10.154225
1,216,Undirected,372.065193
1,217,Undirected,40.419011
1,223,Undirected,25.991346
6,224,Undirected,95.539799
17,225,Undirected,406.116924
18,226,Undirected,379.852281
1,87,Undirected,258.748224
1,228,Undirected,52.149769
15,228,Undirected,143.294675
18,229,Undirected,1291.061098
18,209,Undirected,329.003024
18,186,Undirected,549.429897
1,231,Undirected,1030.972662
1,226,Undirected,201.982302
1,232,Undirected,27.603827
0,231,Undirected,137.545618
0,232,Undirected,55.38134
20,233,Undirected,31.032422
0,233,Undirected,34.593987
0,235,Undirected,29.759212
0,34,Undirected,284.186013
0,237,Undirected,109.192268
24,228,Undirected,660.319937
24,240,Undirected,92.609397
24,242,Undirected,89.577814
24,243,Undirected,66.120454
11,244,Undirected,79.275097
26,245,Undirected,224.86777
27,246,Undirected,158.442511
28,246,Undirected,247.404513
18,247,Undirected,153.623464
29,248,Undirected,205.320784
18,196,Undirected,613.430955
18,249,Undirected,122.500548
18,2,Undirected,110.743
18,251,Undirected,49.564593
18,228,Undirected,230.475773
18,253,Undirected,101.43512
18,203,Undirected,348.260313
18,206,Undirected,85.243203
33,258,Undirected,44.616896
34,34,Undirected,293.366298
17,201,Undirected,346.102978
17,43,Undirected,29.692287
17,249,Undirected,19.778025
36,261,Undirected,79.348211
37,248,Undirected,121.416106
36,262,Undirected,62.452533
36,201,Undirected,286.582928
38,201,Undirected,88.9294
36,263,Undirected,31.278976
36,264,Undirected,31.635283
37,243,Undirected,39.726377
36,43,Undirected,32.154907
36,225,Undirected,69.889831
39,268,Undirected,675.257962
39,270,Undirected,111.362997
19,41,Undirected,322.156138
0,274,Undirected,398.236823
12,275,Undirected,236.598453
41,41,Undirected,136.982748
12,274,Undirected,28.471344
42,228,Undirected,197.291873
43,43,Undirected,125.528283
44,209,Undirected,174.959427
45,274,Undirected,460.958646
46,277,Undirected,99.685614
47,278,Undirected,59.655053
49,283,Undirected,64.02796
1,225,Undirected,536.226866
1,249,Undirected,43.225337
1,286,Undirected,137.908377
52,2,Undirected,154.933963
53,287,Undirected,155.5557
47,288,Undirected,868.820532
47,253,Undirected,101.02447
53,290,Undirected,193.088562
53,291,Undirected,137.115494
47,291,Undirected,121.031629
55,258,Undirected,54.900498
55,235,Undirected,58.168293
56,258,Undirected,127.172939
56,278,Undirected,37.492886
53,288,Undirected,28.934994
53,201,Undirected,124.221419
53,270,Undirected,15.905273
18,292,Undirected,237.919911
292,292,Undirected,40.88824
59,292,Undirected,167.988544
59,231,Undirected,48.388834
53,56,Undirected,23.848285
47,56,Undirected,63.016652
60,2,Undirected,321.525543
60,295,Undirected,101.674435
60,296,Undirected,50.73436
28,299,Undirected,198.707284
20,302,Undirected,187.395129
20,303,Undirected,106.889348
0,304,Undirected,566.959173
6,196,Undirected,509.260863
47,305,Undirected,285.042712
47,270,Undirected,211.188056
47,248,Undirected,56.171389
47,307,Undirected,45.481043
47,308,Undirected,81.310489
47,309,Undirected,227.227651
47,310,Undirected,67.605683
10,311,Undirected,436.969114
10,312,Undirected,19.950126
10,313,Undirected,198.879979
10,264,Undirected,168.889584
10,310,Undirected,35.968015
63,263,Undirected,107.163597
63,223,Undirected,70.881494
63,262,Undirected,29.484906
63,312,Undirected,86.123016
38,214,Undirected,164.002235
65,43,Undirected,159.182719
65,201,Undirected,47.596311
65,315,Undirected,103.371502
65,225,Undirected,101.38951
65,206,Undirected,45.212944
66,316,Undirected,98.92112
67,253,Undirected,29.536241
253,253,Undirected,60.489665
67,309,Undirected,59.263787
67,203,Undirected,71.935081
70,245,Undirected,135.078353
24,201,Undirected,29.758785
73,243,Undirected,103.400852
24,311,Undirected,41.471735
24,253,Undirected,35.178928
37,247,Undirected,50.931794
70,322,Undirected,51.959179
39,283,Undirected,62.974279
28,268,Undirected,49.239437
75,87,Undirected,42.939657
76,323,Undirected,87.499334
75,235,Undirected,109.762653
75,324,Undirected,506.250407
75,43,Undirected,27.425698
75,325,Undirected,24.876762
75,225,Undirected,177.802302
75,328,Undirected,24.581568
75,215,Undirected,108.671395
77,329,Undirected,211.802899
76,330,Undirected,23.388917
78,324,Undirected,56.375303
78,329,Undirected,55.583375
78,330,Undirected,39.340779
79,330,Undirected,92.211805
80,329,Undirected,130.25517
80,331,Undirected,168.72546
80,205,Undirected,672.416637
80,235,Undirected,115.652966
81,332,Undirected,1326.761426
7,333,Undirected,2200.008368
82,229,Undirected,507.877752
83,300,Undirected,952.835515
84,334,Undirected,663.539592
85,334,Undirected,183.430849
83,335,Undirected,1114.865692
20,87,Undirected,174.40265
83,83,Undirected,143.410965
86,337,Undirected,302.311445
86,338,Undirected,279.539044
87,339,Undirected,327.330738
88,340,Undirected,417.729601
6,62,Undirected,464.649599
89,342,Undirected,2264.880267
88,343,Undirected,995.712348
90,344,Undirected,367.545439
91,345,Undirected,965.181505
0,346,Undirected,351.861144
0,209,Undirected,354.262297
18,43,Undirected,18.837433
18,349,Undirected,80.971184
18,325,Undirected,32.137482
27,349,Undirected,56.782597
27,350,Undirected,16.281177
27,253,Undirected,53.859245
89,186,Undirected,440.746469
89,292,Undirected,668.428875
89,351,Undirected,873.563667
89,352,Undirected,167.8366
89,322,Undirected,76.245867
89,353,Undirected,248.155984
89,354,Undirected,141.379563
89,329,Undirected,43.249455
89,355,Undirected,232.689643
83,356,Undirected,315.648589
83,209,Undirected,88.225886
83,357,Undirected,107.822695
83,358,Undirected,619.267483
83,359,Undirected,538.853044
83,304,Undirected,433.882502
83,360,Undirected,693.109241
83,361,Undirected,198.376259
83,362,Undirected,249.949069
83,354,Undirected,38.759003
0,363,Undirected,326.131637
89,364,Undirected,39.723175
92,365,Undirected,51.09143
89,34,Undirected,1124.210099
94,368,Undirected,341.480855
94,369,Undirected,71.319526
89,268,Undirected,1318.76858
95,359,Undirected,88.695512
95,323,Undirected,68.814565
93,370,Undirected,69.098044
95,371,Undirected,208.316709
95,372,Undirected,54.621537
93,373,Undirected,27.7055
86,375,Undirected,319.959235
86,359,Undirected,72.927174
86,376,Undirected,80.11903
