id,label,size,weights
0,DC,857,1.0
1,Marvel,1888,-1.0
2,morrison,199,0.577889447236
3,daniel,16,1.0
4,hurwitz,5,1.0
5,fridolfs,6,1.0
7,snyder,21,0.619047619048
8,layman,18,1.0
9,buccellato,6,1.0
11,loeb,52,0.461538461538
13,dini,8,1.0
14,nicieza,50,-0.96
16,tomasi,9,1.0
18,meltzer,14,1.0
19,johns,86,1.0
20,azzarello,6,1.0
21,waid,115,-0.373913043478
22,millar,43,-0.813953488372
26,kelly,33,1.0
28,byrneclaremont,6,1.0
29,austen,8,0.5
30,busiek,11,1.0
31,harras,6,1.0
32,king,11,-0.818181818182
35,williams,18,-0.888888888889
36,hitch,5,1.0
38,mcduffie,19,1.0
39,wein,5,1.0
40,burnett,9,1.0
41,robinson,28,0.714285714286
44,brubaker,7,-0.714285714286
46,gaiman,7,-0.714285714286
47,krueger,24,0.0
48,giffen,6,1.0
49,pak,60,0.5
55,lobdell,26,0.923076923077
57,perez,6,1.0
58,jurgens,7,1.0
61,yang,5,1.0
62,soule,21,0.142857142857
65,verheiden,10,1.0
67,green,17,1.0
68,abnett,7,-0.142857142857
69,casey,16,-0.375
72,levitz,5,1.0
75,bunn,18,-0.555555555556
76,fialkov,20,-0.7
77,rucka,41,0.756097560976
78,pfeifer,7,1.0
79,heinberg,5,1.0
80,picoult,5,1.0
82,simone,31,1.0
83,bendis,401,-1.0
84,hickman,177,-1.0
85,kimmonen,10,-1.0
86,ewing,27,-1.0
87,humphries,14,-1.0
88,deconnick,26,-1.0
89,gage,9,-1.0
90,spencer,18,-1.0
91,barbiere,6,-1.0
92,liu,18,-1.0
93,edmondson,17,-1.0
97,carey,22,-1.0
98,fraction,140,-1.0
99,aaron,68,-1.0
100,gillen,95,-1.0
101,remender,43,-1.0
102,duggan,16,-1.0
105,spurrier,10,-1.0
109,kyleyost,71,-1.0
112,wood,7,-1.0
113,parker,25,-1.0
115,ellis,29,-1.0
116,knauf,20,-1.0
118,warren,7,-1.0
120,moore,5,-1.0
124,lsimonson,6,-1.0
131,lindelof,6,-1.0
133,card,10,-1.0
134,whedon,25,-1.0
136,way,74,-1.0
137,hopeless,12,-1.0
140,gishler,11,-1.0
141,vanlente,8,-1.0
142,defilippis,19,-1.0
143,yost,8,-1.0
145,quesada,7,-1.0
147,truog,23,1.0
151,finch,23,-0.304347826087
152,daniel,39,1.0
154,irving,9,-0.111111111111
155,paquette,12,-0.166666666667
159,kudranski,6,0.666666666667
160,alexander,6,1.0
161,lee,32,1.0
162,camuncoli,18,-0.888888888889
165,capullo,7,1.0
166,benes,27,1.0
168,fabok,22,1.0
169,eaton,23,-0.826086956522
170,lopresti,27,0.703703703704
171,manapul,10,1.0
174,kubert,37,-0.189189189189
179,nguyen,12,0.833333333333
180,richards,6,0.666666666667
181,quitely,25,0.2
182,tan,31,-0.806451612903
190,morales,28,0.857142857143
191,jimenez,18,0.0
192,jones,7,1.0
193,mahnke,33,1.0
194,reis,22,1.0
196,porter,36,1.0
200,scott,10,1.0
201,hitch,42,-0.380952380952
208,cross,7,1.0
210,ordway,10,1.0
211,garney,23,0.217391304348
212,batista,6,1.0
213,derenick,10,1.0
216,saiz,5,-0.6
218,kolins,8,1.0
223,merino,13,1.0
225,davis,23,-0.130434782609
226,mckone,10,-0.6
228,vansciver,8,0.0
229,pacheco,20,-0.4
233,bagley,72,-0.527777777778
235,booth,8,1.0
239,ross,25,0.12
242,olliffe,6,1.0
251,walker,9,-0.333333333333
253,kuder,21,1.0
255,rocafort,10,1.0
257,romita,31,-0.354838709677
264,immonen,32,-0.9375
265,dragotta,10,-0.8
266,edwards,12,-0.833333333333
269,yu,73,-0.671232876712
270,jlee,8,1.0
273,neves,5,-0.2
274,syaf,7,1.0
276,mcguinness,18,0.444444444444
278,turner,6,1.0
280,albuquerque,5,0.6
281,portacio,11,-0.454545454545
288,woods,8,0.5
289,drewjohnson,17,1.0
290,sadowski,13,-0.846153846154
293,lopez,5,-0.6
294,dodson,31,-0.290322580645
295,diaz,5,1.0
296,chang,5,1.0
297,asrar,18,-1.0
298,bachalo,38,-1.0
299,acuna,21,-1.0
300,simonson,9,-1.0
302,peterson,11,-1.0
303,opena,17,-1.0
305,deodato,31,-1.0
306,caselli,19,-1.0
307,ribic,40,-1.0
308,larroca,83,-1.0
309,cheung,9,-1.0
311,lafuente,18,-1.0
314,guice,7,-1.0
315,buffagni,21,-1.0
316,kitson,9,-1.0
317,larraz,6,-1.0
319,checchetto,14,-1.0
321,mcniven,12,-1.0
322,cho,11,-1.0
324,coipel,18,-1.0
325,ferry,8,-1.0
326,maleev,54,-1.0
329,epting,21,-1.0
331,schiti,6,-1.0
333,pagulayan,8,-1.0
334,noto,31,-1.0
335,soy,6,-1.0
339,rivera,6,-1.0
343,samnee,23,-1.0
346,stazjohnson,5,-1.0
347,silvestri,7,-1.0
349,nord,7,-1.0
350,chen,8,-1.0
352,kurth,6,-1.0
353,brooks,15,-1.0
354,walta,19,-1.0
356,medina,51,-1.0
358,marquez,31,-1.0
361,kirk,9,-1.0
362,choi,19,-1.0
364,crain,20,-1.0
368,conrad,12,-1.0
370,hairsine,5,-1.0
371,eaglesham,13,-1.0
372,stegman,5,-1.0
375,pichelli,28,-1.0
376,aja,13,-1.0
380,scalera,5,-1.0
384,granov,6,-1.0
385,zircher,30,-1.0
387,land,42,-1.0
388,bennett,10,-1.0
395,delatorre,10,-1.0
396,denham,6,-1.0
398,rousseau,5,-1.0
