id,label,tiers,weights
0,waid,1.0,6359.726634
1,morrison,1.0,6147.97949
2,daniel,3.0,554.712854
3,hurwitz,1.0,88.904031
4,fridolfs,1.0,85.080469
5,casali,1.0,187.772019
6,snyder,1.0,2895.66538
7,layman,1.0,3168.656777
8,buccellato,1.0,245.959549
10,loeb,1.0,1387.3864
11,oneil,1.0,92.93541
12,dini,1.0,388.134865
13,nicieza,1.0,603.887576
15,tomasi,1.0,278.339163
17,meltzer,1.0,801.690214
18,johns,1.0,5004.604689
19,azzarello,1.0,429.607767
20,millar,1.0,1692.339439
24,kelly,1.0,1042.661212
26,byrneclaremont,1.0,224.86777
27,austen,1.0,310.608523
28,busiek,1.0,608.367979
29,harras,1.0,205.320784
30,king,1.0,595.691922
33,williams,1.0,480.486162
34,hitch,3.0,293.366298
35,kindt,1.0,423.258408
36,mcduffie,1.0,740.184414
37,wein,1.0,212.074277
38,burnett,1.0,252.931635
39,robinson,1.0,1089.330806
41,bermejo,3.0,136.982748
42,brubaker,1.0,818.833784
43,davis,3.0,166.385115
44,gaiman,1.0,1930.621596
45,krueger,1.0,696.793511
46,giffen,1.0,99.685614
47,pak,1.0,3485.190847
49,venditti,1.0,165.041452
52,diggle,1.0,279.165116
53,lobdell,1.0,720.471548
55,perez,1.0,113.068791
56,jurgens,1.0,164.665825
59,yang,1.0,216.377378
60,soule,1.0,1677.656716
62,lemire,1.0,453.971262
63,verheiden,1.0,319.661084
65,green,1.0,456.752986
66,abnett,1.0,282.137824
67,casey,1.0,401.259869
70,levitz,1.0,187.037532
73,bunn,1.0,1171.477093
74,fialkov,1.0,565.129965
75,rucka,1.0,1352.844902
76,pfeifer,1.0,110.888251
77,heinberg,1.0,211.802899
78,picoult,1.0,151.299457
79,torres,1.0,92.211805
80,simone,1.0,1087.050233
81,remender,1.0,2945.957408
82,higgins,1.0,507.877752
83,hickman,3.0,7878.695375
84,johnston,1.0,682.150493
85,jonston,1.0,183.430849
86,spencer,1.0,2623.587523
87,jones,1.0,372.933024
88,vaughan,1.0,3028.568093
89,bendis,1.0,20118.892654
90,fraction,1.0,4539.028261
91,gillen,1.0,4050.419905
92,kimmonen,1.0,254.462711
93,ewing,1.0,1017.941661
94,humphries,1.0,958.44099
95,deconnick,1.0,693.313149
96,gage,1.0,506.916567
97,barbiere,1.0,293.02161
98,slott,1.0,1951.526775
99,coates,1.0,533.163748
100,liu,1.0,386.82767
101,edmondson,1.0,591.233508
103,guggenheim,1.0,294.181094
104,rosenberg,1.0,307.388099
105,anon,3.0,126.528971
106,tieri,1.0,189.778852
107,jenkins,1.0,119.438994
109,david,1.0,446.228674
110,way,1.0,1338.635861
111,carey,1.0,3061.316752
112,aaron,1.0,2390.053312
113,keatinge,1.0,213.590772
115,duggan,1.0,188.642946
120,spurrier,1.0,300.121581
124,kyleyost,1.0,1675.075865
125,wells,1.0,191.128293
126,wood,1.0,214.511924
128,tamaki,1.0,130.314891
129,parker,1.0,423.739848
130,costa,1.0,459.022249
133,quesada,1.0,155.469237
134,grell,3.0,109.685331
138,ellis,1.0,2341.666888
139,knauf,1.0,440.908622
140,vanlente,1.0,402.813849
141,ahearne,1.0,82.433861
142,warren,1.0,143.148233
143,sryan,1.0,89.331821
144,moore,1.0,112.324517
146,caramagna,1.0,89.329887
148,lsimonson,1.0,330.607834
149,irvine,1.0,113.914835
150,taylor,1.0,445.816313
151,alanmoore,1.0,548.578643
152,young,3.0,318.046495
